id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,AKIVA,2,0,0,max_time,NaN,30.000066995620728,206589,NaN,0.0,5371290,413178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,ALLINITU,4,0,0,first_order,5.7443849103203375,0.0003190040588378906,12,8.861911186331151e-9,0.0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,BARD,3,0,0,first_order,0.008214877306583308,0.0007059574127197266,25,2.2489045245804296e-7,0.0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,BEALE,2,0,0,first_order,3.8635844019686286e-14,0.00029397010803222656,13,2.795276235994649e-7,0.0,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,BENNETT5LS,3,0,0,first_order,0.0005389456249461876,0.004745006561279297,31,0.00335672746764629,0.0,51,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,BOX3,3,0,0,first_order,6.43540577368104e-16,0.00041413307189941406,27,2.6268652667255247e-8,0.0,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,BOXBODLS,2,0,0,first_order,9771.499999995156,0.00015497207641601562,3,4.8508058823321766e-9,0.0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,BRKMCC,2,0,0,first_order,0.16904267919645036,0.0002689361572265625,8,8.381477154670776e-9,0.0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,BROWNBS,2,0,0,first_order,1.1464906165404427e-16,0.00023603439331054688,13,0.020734490568962424,0.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,BROWNDEN,4,0,0,first_order,85822.20135244139,0.0005879402160644531,27,0.011760290949483278,0.0,49,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,CHWIRUT1LS,3,0,0,first_order,2384.4771393093506,0.0020639896392822266,30,0.0617159259511549,0.0,57,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,CHWIRUT2LS,3,0,0,first_order,513.0480294068658,0.000865936279296875,30,0.004365631077758567,0.0,55,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,CLIFF,2,0,0,first_order,1.0074365893635723e6,0.00022292137145996094,3,1.0000119566035137,0.0,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,CLUSTERLS,2,0,0,first_order,1.4549949456868766e-14,0.0002529621124267578,14,1.0224271776281711e-8,0.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,CUBE,2,0,0,first_order,8.092134755619526e-13,0.0004010200500488281,31,2.5681023441108538e-5,0.0,46,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,DANIWOODLS,2,0,0,first_order,103.917818,0.00018310546875,1,3.314439399163585e-27,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,DANWOODLS,2,0,0,first_order,0.004317308409173669,0.0006809234619140625,21,1.274023805578487e-5,0.0,44,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,DENSCHNA,2,0,0,first_order,4.674346721828689e-16,0.0002830028533935547,10,6.39432219783937e-8,0.0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,DENSCHNB,2,0,0,first_order,6.463463883008177e-19,0.000247955322265625,8,2.0713069178964457e-9,0.0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,DENSCHNC,2,0,0,first_order,0.18336165467889867,0.0002810955047607422,15,5.419486103258682e-6,0.0,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,DENSCHND,3,0,0,first_order,0.04164791097277411,0.0004620552062988281,24,0.8038160706856409,0.0,43,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,DENSCHNE,3,0,0,first_order,2.479111291108761e-14,0.0002849102020263672,27,3.149038288568738e-7,0.0,56,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,DENSCHNF,2,0,0,first_order,2.9204953300195635e-13,0.0003020763397216797,11,1.1260813202892102e-5,0.0,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,DEVGLA1,4,0,0,first_order,2.6252602432781914e-13,0.0029909610748291016,58,0.00012699912863006605,0.0,92,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,DEVGLA2,5,0,0,first_order,5.802678804536421e-12,0.007586002349853516,168,0.00012587061317674217,0.0,252,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,DJTL,2,0,0,first_order,-8951.54472374742,0.01042795181274414,922,4.904358206005752e-6,0.0,1673,1394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,ECKERLE4LS,3,0,0,first_order,0.0014635887487274724,0.0016489028930664062,39,5.730495459768323e-10,0.0,94,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,EGGCRATE,2,0,0,first_order,9.488197339106257,0.0002770423889160156,8,1.6309505574467637e-8,0.0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,ELATVIDU,2,0,0,first_order,54.75111864223129,0.0002758502960205078,10,4.6924190199096226e-6,0.0,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,ENGVAL2,3,0,0,first_order,3.4901063739662773e-16,0.00047516822814941406,33,1.0893305384918686e-6,0.0,52,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,EXP2,2,0,0,first_order,8.376021993003101e-19,0.00021791458129882812,11,6.680697548248533e-10,0.0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,EXPFIT,2,0,0,first_order,0.24051059399905822,0.0002200603485107422,14,1.2985469933579672e-7,0.0,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,GAUSSIAN,3,0,0,first_order,1.1279327696189579e-8,0.0002701282501220703,5,1.674975889121607e-12,0.0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,GBRAINLS,2,0,0,first_order,28.51585818940283,0.03244519233703613,14,5.455691325660073e-6,0.0,29,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,GROWTHLS,3,0,0,first_order,3542.14903046,0.00021791458129882812,1,0.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,GULF,3,0,0,first_order,6.64385753176481e-16,0.00692296028137207,60,2.729059948126646e-7,0.0,88,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,HAIRY,2,0,0,first_order,20.0,0.0005259513854980469,28,4.5825762289624506e-8,0.0,60,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,HATFLDD,3,0,0,first_order,2.546894620815663e-7,0.0010540485382080078,33,2.533630249664259e-8,0.0,53,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,HATFLDE,3,0,0,first_order,2.728742131008642e-6,0.0011479854583740234,29,5.750779444413677e-7,0.0,37,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,HATFLDFL,3,0,0,max_time,6.016671702072249e-5,30.00004482269287,712034,0.0002685863338151217,0.0,18210186,1418004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,HATFLDFLS,3,0,0,first_order,4.156782955131945e-17,0.0014619827270507812,70,2.4486272303668137e-8,0.0,88,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,HELIX,3,0,0,first_order,3.873682863535356e-13,0.0004329681396484375,28,2.1199416779882895e-5,0.0,45,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,HIELOW,3,0,0,first_order,874.1654321149672,0.0777292251586914,32,2.40361145820822e-5,0.0,48,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,HILBERTA,2,0,0,first_order,3.219687691054195e-17,0.00023794174194335938,5,9.034621627078741e-9,0.0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,HIMMELBB,2,0,0,first_order,5.219575767588504e-11,0.00020003318786621094,6,0.002083926142516589,0.0,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,HIMMELBCLS,2,0,0,first_order,2.7775723536375262e-15,0.0002779960632324219,8,5.043720186738751e-7,0.0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,HIMMELBF,4,0,0,first_order,318.5717487911244,0.0009551048278808594,75,2.4227993260353476e-5,0.0,106,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,HIMMELBG,2,0,0,first_order,4.8846660946650156e-17,0.00021600723266601562,9,1.9773447213862493e-8,0.0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,HIMMELBH,2,0,0,first_order,-0.9999999999999998,0.00023412704467773438,8,7.358291534451164e-13,0.0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,HUMPS,2,0,0,first_order,9.5796312152352e-14,0.0018639564514160156,145,1.3841707207587558e-7,0.0,293,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,JENSMP,2,0,0,first_order,2020.0,0.00017499923706054688,1,0.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,JUDGE,2,0,0,first_order,20.482337000490702,0.0004839897155761719,14,1.0736667501146813e-5,0.0,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,KIRBY2LS,5,0,0,first_order,136170.5562657686,0.001104116439819336,7,340.82511290381785,0.0,38,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,KOWOSB,4,0,0,first_order,0.00030780094673338526,0.0010821819305419922,38,9.7161088414447e-9,0.0,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,LOGHAIRY,2,0,0,first_order,0.1823215567939546,0.0006201267242431641,40,1.7116616641143397e-9,0.0,89,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,LSC1LS,3,0,0,first_order,7.7118522388204065,0.0007989406585693359,58,2.878670702730258e-6,0.0,94,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,LSC2LS,3,0,0,first_order,13.334381435640775,0.0008521080017089844,68,3.1841629414238254e-5,0.0,100,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,MARATOSB,2,0,0,first_order,-1.0000000624976386,0.009801864624023438,1213,0.005578796756881657,0.0,1729,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,MEXHAT,2,0,0,first_order,-0.03918020335153571,0.0004489421844482422,32,7.757794350500096,0.0,58,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,MEYER3,3,0,0,first_order,3.490274875755669e7,0.0007059574127197266,20,29.348660329751453,0.0,39,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,MGH09LS,4,0,0,first_order,0.001018978847552301,0.0007529258728027344,56,4.34168710450956e-7,0.0,66,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,MGH10LS,3,0,0,first_order,1.3668561437594397e9,0.0002880096435546875,5,6.212597066032872e6,0.0,33,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,MGH10SLS,3,0,0,first_order,1.22585131719379e15,0.0002028942108154297,1,7220.537708795214,0.0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,MGH17LS,5,0,0,first_order,1.0224320325913379,0.0004401206970214844,18,3.7175053135376906e-5,0.0,27,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,MGH17SLS,5,0,0,first_order,1.0224375057611208,0.0011599063873291016,28,3.7438576745788295e-6,0.0,43,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,MISRA1ALS,2,0,0,first_order,19.51592439643631,0.00035500526428222656,8,0.2752334441744094,0.0,43,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,MISRA1BLS,2,0,0,first_order,7.317532773516292,0.00032210350036621094,8,0.05969837745283504,0.0,45,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,MISRA1CLS,2,0,0,first_order,4.745121889709102,0.0004088878631591797,8,0.18750617199422023,0.0,43,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,MISRA1DLS,2,0,0,first_order,1.107091673882116,0.0004360675811767578,10,0.029312253567523993,0.0,41,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,MUONSINELS,1,0,0,first_order,50997.762115147474,0.0026450157165527344,5,3.9441756484848156e-5,0.0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,NELSONLS,3,0,0,max_time,NaN,30.000107049942017,163464,NaN,0.0,3919170,317768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,OSBORNEA,5,0,0,first_order,5.4648947163783497e-5,0.005527019500732422,177,5.864421831022664e-6,0.0,258,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,PALMER5D,4,0,0,first_order,87.33939475358561,0.0004620552062988281,32,1.208208726640181e-5,0.0,48,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,POWELLBSLS,2,0,0,first_order,2.3460971229619696e-17,0.0015659332275390625,162,1.2829160042248509e-6,0.0,224,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,POWELLSQLS,2,0,0,first_order,6.728291072196187e-11,0.00878596305847168,896,1.6111840904441369e-6,0.0,1342,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,POWERSUM,4,0,0,first_order,37.431446699256256,0.00028395652770996094,7,3.4303297979931813e-9,0.0,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,PRICE3,2,0,0,first_order,1.1158670035290756e-14,0.0002598762512207031,13,1.1219275069298211e-6,0.0,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,PRICE4,2,0,0,first_order,2.531632666377401e-8,0.0002808570861816406,32,6.0375101229810135e-5,0.0,48,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,RAT42LS,3,0,0,max_time,NaN,30.000011920928955,591780,NaN,0.0,15386265,1183569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,RAT43LS,4,0,0,first_order,1.0764615963733331e6,0.0002770423889160156,3,7.958078640513122e-13,0.0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
81,RECIPELS,3,0,0,first_order,8.353514600749435e-11,0.00036406517028808594,24,1.962577757000723e-6,0.0,31,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,ROSENBR,2,0,0,first_order,1.445605332105295e-17,0.0003979206085205078,39,8.411308266965997e-8,0.0,52,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,ROSENBRTU,2,0,0,first_order,2.75664485101088e-26,0.001405954360961914,144,7.272128464903628e-12,0.0,214,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,ROSZMAN1LS,4,0,0,first_order,0.15686701455200774,0.0006439685821533203,14,0.00022828553886158602,0.0,39,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,S308,2,0,0,first_order,0.7731990564930258,0.00023293495178222656,10,7.048192723036933e-7,0.0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
86,SINEVAL,2,0,0,first_order,1.6825526789529748e-21,0.0009357929229736328,72,3.454888737167034e-9,0.0,96,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
87,SISSER,2,0,0,first_order,1.2034421318216633e-10,0.0003218650817871094,15,1.766179365630607e-7,0.0,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
88,SNAIL,2,0,0,first_order,2.671483318264638e-16,0.00024509429931640625,10,3.2689346367375865e-8,0.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
89,SSI,3,0,0,max_time,9.027465521877397e-9,30.000004053115845,4790447,7.660086227760193e-5,0.0,5912980,5912538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
90,STREG,4,0,0,first_order,110.44728325476532,0.0002651214599609375,12,5.683542510209574,0.0,31,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
91,WAYSEA1,2,0,0,first_order,5.604307603345923e-11,0.0003249645233154297,19,0.0008508366249161743,0.0,42,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
92,WAYSEA2,2,0,0,first_order,3.838179524449124e-14,0.0003330707550048828,16,2.724043971159952e-7,0.0,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
93,YFITU,3,0,0,first_order,6.724839873734936e-13,0.0016651153564453125,76,2.7093113153922734e-5,0.0,104,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
94,ZANGWIL2,2,0,0,first_order,-18.200000009100002,0.00014400482177734375,2,0.0,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
