id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,AKIVA,2,0,0,first_order,6.166042212470039,4.766193866729736,28,0.00031942706559121194,0.0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,ALLINITU,4,0,0,first_order,5.744384910321734,0.0015490055084228516,26,5.529825722332689e-6,0.0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,ARGLINA,200,0,0,first_order,199.99999999999736,0.011953115463256836,5,1.6298315269268544e-12,0.0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,ARGLINB,200,0,0,first_order,99.6254681635518,0.009618997573852539,4,0.13757488796820216,0.0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,ARGLINC,200,0,0,first_order,101.12547051096851,0.009146928787231445,4,0.00825399925862596,0.0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,ARGTRIGLS,200,0,0,max_eval,8.340914282879008e-5,2.0706489086151123,581,0.15074633263830786,0.0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,BA-L1LS,57,0,0,first_order,4.254220370311787e-8,0.03907918930053711,49,0.558089837262463,0.0,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,BA-L1SPLS,57,0,0,first_order,2.040920113481633e-8,0.06815886497497559,51,0.5464967292893225,0.0,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,BARD,3,0,0,first_order,0.008215099831687707,0.0011970996856689453,32,5.8416470156168105e-5,0.0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,BEALE,2,0,0,first_order,9.35080034343051e-14,0.0015518665313720703,34,8.049128926673307e-7,0.0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,BENNETT5LS,3,0,0,first_order,0.6847247303406195,0.005950927734375,14,0.46959535980158607,0.0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,BIGGS6,6,0,0,max_eval,3.9542885205052e-5,0.10155916213989258,591,0.0007345975846424165,0.0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,BOX3,3,0,0,first_order,3.753737739792113e-11,0.004463911056518555,35,2.281732508271697e-6,0.0,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,BOXBODLS,2,0,0,small_step,9759.653532528364,0.0005381107330322266,12,365.84463185876086,0.0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,BRKMCC,2,0,0,first_order,0.16904267919647575,0.0003590583801269531,10,1.5060123935122989e-6,0.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,BROWNAL,200,0,0,first_order,4.9026195385048344e-8,0.004997968673706055,4,0.06648589115709631,0.0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,BROWNBS,2,0,0,max_eval,1.371259891882109e8,0.013844013214111328,560,110918.30804313954,0.0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,BROWNDEN,4,0,0,first_order,85822.20146660884,0.003307819366455078,50,1.1265065135326982,0.0,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,CERI651ALS,7,0,0,small_step,411.89791353675645,0.0053060054779052734,27,240309.8359026184,0.0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,CERI651BLS,7,0,0,small_step,117.43464170971419,0.004757881164550781,20,44077.755389517326,0.0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,CERI651CLS,7,0,0,small_step,58.96890955798172,0.01046609878540039,28,165.7247672887897,0.0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,CERI651DLS,7,0,0,max_eval,25.428078909378502,0.11244392395019531,533,3630.340711985775,0.0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,CERI651ELS,7,0,0,small_step,26.436293627105037,0.005623817443847656,24,150.6287178084379,0.0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,CHNROSNB,50,0,0,max_eval,1.1375636669557576,0.14749598503112793,579,6.716099858295467,0.0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,CHNRSNBM,50,0,0,max_eval,15.556562834348293,0.304872989654541,571,6.649824717148992,0.0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,CHWIRUT1LS,3,0,0,small_step,2488.1521486999177,0.029651880264282227,152,13273.41704157186,0.0,269,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
