name,nvar,status,elapsed_time,iter
ARGTRIGLS,200,max_eval,1.9878950119018555,581
BIGGS6,6,max_eval,0.06900501251220703,591
BOXBODLS,2,user,0.0008649826049804688,12
BROWNBS,2,max_eval,0.015590906143188477,560
CERI651ALS,7,user,0.006493091583251953,27
CERI651BLS,7,user,0.006766080856323242,20
CERI651CLS,7,user,0.0043680667877197266,28
CERI651DLS,7,max_eval,0.1049509048461914,533
CERI651ELS,7,user,0.005622148513793945,24
CHNROSNB,50,max_eval,0.15310907363891602,579
CHNRSNBM,50,max_eval,0.12598514556884766,571
CHWIRUT1LS,3,user,0.026235103607177734,152
CHWIRUT2LS,3,max_eval,0.05048084259033203,554
COATING,134,max_eval,0.4276130199432373,573
DENSCHND,3,user,0.0019211769104003906,26
DEVGLA1,4,max_eval,0.08405184745788574,552
DEVGLA2,5,user,0.013015985488891602,72
DIAMON3DLS,99,max_time,10.049314975738525,178
DJTL,2,user,0.005759000778198242,120
DMN15103LS,99,max_time,10.01202392578125,167
DMN15333LS,99,max_time,10.027007818222046,170
DMN37142LS,66,max_time,10.003432035446167,202
DMN37143LS,99,user,1.498162031173706,24
ENGVAL2,3,user,0.002505064010620117,63
EXTROSNB,1000,max_time,10.007926940917969,512
FBRAIN3LS,6,user,0.37308502197265625,45
FLETCHCR,1000,user,0.20039987564086914,14
GAUSS1LS,8,user,0.018182992935180664,35
GAUSS2LS,8,user,0.0,0
GAUSS3LS,8,user,0.01928114891052246,39
GENROSE,500,max_eval,3.009932041168213,576
GULF,3,user,0.009023189544677734,41
HAHN1LS,7,user,0.008465051651000977,33
HEART6LS,6,user,0.00519108772277832,65
HEART8LS,8,user,0.006309986114501953,49
HIMMELBF,4,user,0.00832509994506836,40
HUMPS,2,max_eval,0.017945051193237305,574
HYDC20LS,99,max_eval,0.559816837310791,577
HYDCAR6LS,29,max_eval,0.1357879638671875,580
KIRBY2LS,5,user,0.010777950286865234,50
LOGHAIRY,2,max_eval,0.02696394920349121,572
LSC2LS,3,user,0.0052950382232666016,123
LUKSAN11LS,100,max_eval,0.30371809005737305,581
LUKSAN12LS,98,max_eval,0.2832658290863037,584
LUKSAN21LS,100,max_eval,0.2589411735534668,583
LUKSAN22LS,100,max_eval,0.3870089054107666,590
MANCINO,100,user,0.3861660957336426,24
METHANB8LS,31,max_eval,0.1608719825744629,583
METHANL8LS,31,max_eval,0.5626559257507324,577
MEXHAT,2,user,0.0004849433898925781,10
MEYER3,3,user,0.0006289482116699219,15
MGH09LS,4,user,0.011645078659057617,34
MGH10SLS,3,user,0.0015370845794677734,26
MNISTS0LS,494,max_time,10.1246018409729,50
MNISTS5LS,494,max_time,10.11076307296753,49
NELSONLS,3,user,0.0005540847778320312,5
OSBORNEA,5,user,0.0,0
OSBORNEB,11,max_eval,0.14209794998168945,587
PALMER1C,8,user,0.007745981216430664,23
PALMER1D,7,user,0.006803035736083984,93
PALMER2C,8,user,0.0035021305084228516,49
PALMER3C,8,user,0.026833057403564453,185
PALMER4C,8,max_eval,0.1148068904876709,642
PALMER6C,8,max_eval,0.028670787811279297,513
PALMER8C,8,user,0.036763906478881836,210
PARKCH,15,max_time,10.117848873138428,110
POWELLBSLS,2,user,0.0025119781494140625,36
RAT42LS,3,user,0.004839897155761719,59
RAT43LS,4,user,0.009846925735473633,69
ROSENBRTU,2,user,0.004789113998413086,157
SSI,3,user,0.007153987884521484,125
STRATEC,10,max_time,10.05667495727539,112
STREG,4,user,0.0019969940185546875,32
THURBERLS,7,user,0.029143095016479492,213
VARDIM,200,user,0.011553049087524414,18
VESUVIALS,8,user,0.1664741039276123,85
VESUVIOLS,8,max_eval,1.123337984085083,566
VESUVIOULS,8,max_eval,1.2408239841461182,575
VIBRBEAM,8,user,0.013216018676757812,48
WATSON,12,max_eval,0.1423630714416504,589
YFITU,3,max_eval,0.0511021614074707,551
