id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,AKIVA,2,0,0,first_order,6.166042212452231,0.0007410049438476562,5,0.00037080871096535666,0.0,6,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,
2,ALLINITU,4,0,0,first_order,5.744384910321453,0.0005691051483154297,7,5.317027388808807e-6,0.0,14,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,
3,BARD,3,0,0,first_order,0.008214877306584437,0.0006780624389648438,9,1.4578245225400575e-7,0.0,10,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,
4,BEALE,2,0,0,first_order,2.2245382452868775e-18,0.0004169940948486328,7,5.662848864918915e-9,0.0,8,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,
5,BENNETT5LS,3,0,0,first_order,0.0005294146575479912,0.0025777816772460938,7,0.02851488430269504,0.0,12,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,
6,BOX3,3,0,0,first_order,4.815179307791035e-11,0.00046706199645996094,7,4.042295701293973e-6,0.0,8,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,
7,BOXBODLS,2,0,0,first_order,9771.499008918954,0.0004100799560546875,2,0.0012517418984478368,0.0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
8,BRKMCC,2,0,0,first_order,0.1690426792010748,0.00023293495178222656,2,6.1053106267902225e-6,0.0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
9,BROWNBS,2,0,0,first_order,1.045402505427116e-15,0.00026702880859375,6,0.06347703385152072,0.0,14,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,
10,BROWNDEN,4,0,0,first_order,85822.20135243525,0.0003559589385986328,7,0.003873966992492934,0.0,8,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,
11,CHWIRUT1LS,3,0,0,first_order,2384.4771393093506,0.003504037857055664,7,0.00016251558944602065,0.0,17,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,
12,CHWIRUT2LS,3,0,0,first_order,513.0480294068916,0.0005810260772705078,5,0.18199361172102038,0.0,9,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,
13,CLIFF,2,0,0,first_order,403.15788918246824,0.00047707557678222656,14,11410.09826300645,0.0,15,15,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,
14,CLUSTERLS,2,0,0,first_order,4.4223263303843923e-10,0.0007941722869873047,11,2.5143347683072643e-6,0.0,12,12,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,
15,CUBE,2,0,0,first_order,1.76839770500783e-14,0.0013248920440673828,27,1.5292561358432638e-6,0.0,42,28,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,
16,DANIWOODLS,2,0,0,first_order,0.004317310883290092,0.0008020401000976562,11,0.00039029924436304384,0.0,21,12,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,
17,DANWOODLS,2,0,0,first_order,0.004317308412086197,0.0004620552062988281,9,0.00012029991139205764,0.0,12,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,
18,DENSCHNA,2,0,0,first_order,2.213909726653023e-12,0.0002779960632324219,5,2.967652054145249e-6,0.0,6,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,
19,DENSCHNB,2,0,0,first_order,7.599555365077124e-22,0.00030803680419921875,5,7.795575494927434e-11,0.0,16,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,
20,DENSCHNC,2,0,0,first_order,5.33959170082376e-11,0.00039696693420410156,9,4.213594494282833e-5,0.0,10,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,
21,DENSCHND,3,0,0,first_order,8.313587660419264,0.001207113265991211,12,23.71980340129893,0.0,15,13,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,
22,DENSCHNE,3,0,0,first_order,7.34678831746451e-10,0.0006620883941650391,14,5.421138844066715e-5,0.0,15,15,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,
23,DENSCHNF,2,0,0,first_order,2.3148889966252515e-10,0.00024390220642089844,5,0.00037421839486990137,0.0,6,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,
24,DEVGLA1,4,0,0,max_eval,NaN,0.04789590835571289,993,NaN,0.0,1000,994,0,0,0,0,0,0,993,0,0,0,0,0,0,0,0,0,
25,DEVGLA2,5,0,0,first_order,1.6695344825727704e-14,0.001983165740966797,14,2.4577646345864923e-7,0.0,23,15,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,
26,DJTL,2,0,0,max_eval,-7309.515476304805,0.029480934143066406,924,4.7078993660556525e6,0.0,1000,925,0,0,0,0,0,0,924,0,0,0,0,0,0,0,0,0,
