id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,AKIVA,2,0,0,first_order,6.166042212470041,0.006953001022338867,28,0.00031942711368707023,0.0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,ALLINITU,4,0,0,first_order,5.744384910321732,0.0009341239929199219,26,5.529825723436782e-6,0.0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,ARGLINA,200,0,0,first_order,199.99999999999736,0.028324127197265625,5,1.6298315269268544e-12,0.0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,ARGLINB,200,0,0,first_order,99.6254681635518,0.012479066848754883,4,0.13757488796820216,0.0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,ARGLINC,200,0,0,first_order,101.12547051096851,0.016448974609375,4,0.00825399925862596,0.0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,ARGTRIGLS,200,0,0,max_eval,6.704696594328262e-5,5.754430055618286,578,0.0977519126486332,0.0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,BA-L1LS,57,0,0,first_order,4.259204072659527e-8,0.04729294776916504,49,0.5582796498687147,0.0,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,BA-L1SPLS,57,0,0,first_order,8.321843535628808e-9,0.11026406288146973,47,0.2181849830211755,0.0,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,BARD,3,0,0,first_order,0.008215099831727017,0.0015671253204345703,32,5.841647549115885e-5,0.0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,BEALE,2,0,0,first_order,9.350801327623277e-14,0.0011000633239746094,34,8.049130983705119e-7,0.0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,BENNETT5LS,3,0,0,first_order,0.6847247303406463,0.002393007278442383,14,0.46959571938050304,0.0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,BIGGS6,6,0,0,user,0.009125319791955072,0.13079309463500977,114,0.31406471706501804,0.0,201,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,BOX3,3,0,0,first_order,3.753736068591572e-11,0.0019807815551757812,35,2.2817776779731686e-6,0.0,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,BOXBODLS,2,0,0,user,9759.653532528364,0.0005428791046142578,12,365.84463185876086,0.0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,BRKMCC,2,0,0,first_order,0.16904267919647575,0.0004699230194091797,10,1.5060123935122989e-6,0.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,BROWNAL,200,0,0,first_order,4.9026195385048344e-8,0.009048938751220703,4,0.06648589115709631,0.0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,BROWNBS,2,0,0,user,9.485564958761844e11,0.0035479068756103516,95,2.814227468876772e8,0.0,176,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,BROWNDEN,4,0,0,first_order,85822.20142127592,0.0034589767456054688,54,0.6564761278125751,0.0,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,CERI651ALS,7,0,0,user,477.96428192785527,0.017013072967529297,29,1.625181166003151e6,0.0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,CERI651BLS,7,0,0,user,117.44132838067922,0.005117177963256836,20,44068.67330804472,0.0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,CERI651CLS,7,0,0,user,58.96891262420194,0.005316019058227539,28,165.72559458979123,0.0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,CERI651DLS,7,0,0,user,24.82411626966519,0.0021719932556152344,10,11267.726456680275,0.0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,CERI651ELS,7,0,0,user,26.429540292155238,0.012846946716308594,36,8.837069603070278,0.0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,CHNROSNB,50,0,0,max_eval,2.4293439988177794,0.47998809814453125,578,12.278235414239882,0.0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,CHNRSNBM,50,0,0,max_eval,17.96789679305309,0.30340003967285156,572,6.148907210131397,0.0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,CHWIRUT1LS,3,0,0,max_eval,2388.11163994663,0.11963105201721191,558,1419.457457527979,0.0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,CHWIRUT2LS,3,0,0,user,513.1079509335165,0.04397010803222656,527,703.780041026012,0.0,955,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,CLIFF,2,0,0,first_order,0.4158402828867553,5.602836608886719e-5,1,1.4075973734020721,0.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,CLUSTERLS,2,0,0,first_order,8.229288445240267e-11,0.0010089874267578125,17,1.608576176299623e-6,0.0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,COATING,134,0,0,max_eval,8.655783713337156,1.3843340873718262,570,5.473949759397592,0.0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,COOLHANSLS,9,0,0,first_order,0.04884068454100891,0.00010895729064941406,5,3.1705032159854336,0.0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,CUBE,2,0,0,first_order,2.3106499535375277e-6,0.002454996109008789,82,0.0009640335753487474,0.0,149,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,DANIWOODLS,2,0,0,first_order,0.004317332154950534,0.0030090808868408203,24,0.00018545647596995545,0.0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,DANWOODLS,2,0,0,first_order,103.9178179988962,3.910064697265625e-5,1,1.2503644008069043e-6,0.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,DENSCHNA,2,0,0,first_order,2.648420380203968e-13,0.0008051395416259766,16,1.3437387338816117e-6,0.0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,DENSCHNB,2,0,0,first_order,4.5853331778100695e-12,0.0003609657287597656,12,4.321502330464494e-6,0.0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,DENSCHNC,2,0,0,first_order,1.4502311147423174e-7,0.0011360645294189453,24,0.000754886543051368,0.0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,DENSCHND,3,0,0,user,40.54171284134058,0.0009639263153076172,26,89.69867218854257,0.0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,DENSCHNE,3,0,0,first_order,2.676124291474902e-11,0.010406017303466797,122,1.0346206436894479e-5,0.0,197,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,DENSCHNF,2,0,0,first_order,1.100156477576013e-9,0.0007898807525634766,18,0.000569489937779422,0.0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,DEVGLA1,4,0,0,max_eval,3920.8061318288287,0.06546998023986816,553,451.31435168308474,0.0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,DEVGLA2,5,0,0,user,39643.06388908841,0.08026289939880371,123,72183.38088363915,0.0,226,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,DIAMON2DLS,66,0,0,max_time,9421.272194891566,10.011178970336914,189,315.9669549648522,0.0,332,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,DIAMON3DLS,99,0,0,max_time,8307.114706424136,10.07223391532898,144,657.7367097325777,0.0,254,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,DJTL,2,0,0,user,-8914.942819030228,0.004851818084716797,132,2120.000388568958,0.0,210,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,DMN15102LS,66,0,0,max_time,9426.469178252728,10.02842903137207,180,175.57397873830806,0.0,318,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
